Samples,TimeSeconds,TimeDays,Benchmark_alpha0.02,Manuscript_alpha1e-6
2867477,2867477,33.188391203703702,1,0.9431579229186734
2985383,2985383,34.55304398148148,1,0.94947992478973364
3108136,3108136,35.9737962962963,1,0.95531590039410885
3235937,3235937,37.452974537037036,1,0.96067672192637643
3368992,3368992,38.992962962962963,1,0.96557573841613054
3507519,3507519,40.596284722222222,1,0.97002887179431785
3651741,3651741,42.265520833333333,1,0.97405412978528827
3801894,3801894,44.003402777777779,1,0.97767160073404424
3958221,3958221,45.812743055555558,1,0.98090298004165344
4120975,4120975,47.696469907407405,1,0.98377134968183
4290422,4290422,49.657662037037035,1,0.98630088635019875
4466836,4466836,51.699490740740742,1,0.98851643313184567
4650504,4650504,53.825277777777778,1,0.9904432381258319
4841724,4841724,56.038472222222225,1,0.99210658507576621
5040806,5040806,58.342662037037037,1,0.99353148372486688
5248075,5248075,60.741608796296298,1,0.99474238419599259
5463865,5463865,63.239178240740742,1,0.99576286409500192
5688529,5688529,65.839456018518518,1,0.99661544161827387
5922431,5922431,68.546655092592587,1,0.99732132754925595
6165950,6165950,71.365162037037038,1,0.9979002837935157
6419482,6419482,74.299560185185186,1,0.99837050513330972
6683439,6683439,77.354618055555562,1,0.99874853741280989
6958250,6958250,80.535300925925924,1,0.99904924436029729
7244360,7244360,83.846759259259258,1,0.99928581149823237
7542234,7542234,87.294375000000002,1,0.99946979019504112
7852356,7852356,90.883750000000006,1,0.99961116673324879
8175230,8175230,94.620717592592598,1,0.9997184594547377
8511380,8511380,98.511342592592598,1,0.99979883483198784
8861352,8861352,102.56194444444445,1,0.99985823735754431
9225714,9225714,106.77909722222222,1,0.99990152605998095
9605058,9605058,111.16965277777778,1,0.99993261329419891
10000000,10000000,115.74074074074075,1,0.99995460029724981
