ProgressPercent,Reference,BaseRaw,BaseBenchmark,BaseManuscript,BaseSequential,PrunedRaw,PrunedBenchmark,PrunedManuscript,PrunedSequential,QuantizedRaw,QuantizedBenchmark,QuantizedManuscript,QuantizedSequential
0,1,0.99999999999999989,0.99999999999999989,1,1,1,1,1,1,1,1,1,1
0.040016006402561026,0.99991309642791748,0.99574349368492587,0.99957637536769195,0.99990909794718008,0.99999792539935395,0.95916448711094093,0.99887859999992168,0.99989780689537755,0.99999684038881909,0.99872514974023829,1.0000839397653023,1.0000103905464259,0.9999986494184574
0.080032012805122052,0.99975556135177612,0.99829246495853774,0.99961456250855529,0.99989678249200209,0.99999637676149111,0.98464137690635323,0.99785404090529384,0.99978178689543862,0.99998743635281695,0.99102317338178614,1.0007409805366647,1.0000484827716907,1.00000183372088
0.12004801920768307,0.99959796667098999,0.99909099921370603,0.99960065567771594,0.9998775654780987,0.9999950744786712,0.98189737086732354,0.99669384090521951,0.99966576689549969,0.99997173710375553,0.98148449973747809,0.99958078053702792,0.99993952195785751,1.0000027498582846
0.1600640256102441,0.99944037199020386,1.0024448067278056,0.99920605074817126,0.99984962122584053,0.99999205183080497,0.98517183061465197,0.99559447375088506,0.99954974689556075,0.99994944169098721,0.98447291173218321,0.99842058053695326,0.99982350195791858,0.99999694985660292
0.20008003201280511,0.9992828369140625,0.98587549361511928,0.99871989204858824,0.99981343828736313,0.9999857798117342,0.96585154620944569,0.99446427375080959,0.99943372689562182,0.99992105360723882,0.98379049821324993,0.99726038053687893,0.99970748195797965,0.99998447256340528
0.24009603841536614,0.99912524223327637,0.98498691368510038,0.99802059129990717,0.99977007081810942,0.99997599426908568,0.97239080600636452,0.99330407375073493,0.99931770689568289,0.99988613120626813,0.97821773328779926,0.9961001805368046,0.99959146195804072,0.99996535660153985
0.28011204481792717,0.99896770715713501,0.98075349445085946,0.99710818127381351,0.99968904359889355,0.99996214597810285,0.98557570079921852,0.9921438737506606,0.99920168689574396,0.99984469996383929,0.98073021233802682,0.99494038053672995,0.99947544195810178,0.99993964214690423
0.32012805122048821,0.99881011247634888,0.9973368658384888,0.99632038127366518,0.9996024376185918,0.99994324312068672,0.98723900593058034,0.99099928300645579,0.99908566689580502,0.99979681605631243,0.9799696516572336,0.99378058053665563,0.99935942195816285,0.99990736627173371
0.36014405762304924,0.99865251779556274,0.99360893854206955,0.99549963244317263,0.9995231266043525,0.99991985002060679,0.98946310688828898,0.99029353358391137,0.9989696268958661,0.99974286628060793,0.98153062329172569,0.99262098053658099,0.99924338195822393,0.99986856214057185
0.40016006402561022,0.99849492311477661,0.98543459702682024,0.994690345438766,0.99944189962511021,0.99989146353515823,0.98935068697044271,0.98954393529855689,0.99885360689592717,0.99968542348202649,0.98433460081497692,0.99146158053650668,0.999127361958285,0.99982328302247903
0.44017607042817125,0.99833738803863525,0.96835688336770331,0.99390050303172561,0.99935048674793137,0.9998588981713018,0.96785359264307946,0.98914376958203953,0.99873758689598824,0.99962494779432198,0.97768492259248785,0.99030258053643239,0.99901134195834607,0.99977156144749535
0.48019207683073228,0.99817979335784912,0.97809429903017286,0.99314900795876881,0.99925932830738007,0.99982236335418118,0.98807572539292754,0.98879564676644238,0.99863236917976683,0.99956304991804967,0.97852136010475066,0.98914758053635787,0.99889578841776583,0.99971344100926063
0.52020808323329337,0.99802219867706299,0.98767222598725446,0.99247236355472312,0.99916835437956297,0.99978232125146949,0.98464676974374066,0.98848422465600505,0.99855841640725596,0.99950027183258439,0.98169360911554382,0.98800298026796696,0.99879572385853677,0.99964900367633114
0.56022408963585435,0.99786466360092163,1.0097329315575307,0.99209089384672744,0.9990893576916613,0.99973924272120673,0.99191009203736302,0.98837077761508552,0.99848282821976198,0.99943688258615437,0.98038900557856024,0.98686927379161737,0.99869716425346444,0.99957835718382992
0.60024009603841533,0.9977070689201355,1.0102375145551621,0.99291804218719282,0.9991093928729714,0.99969714337899773,0.99182060649390069,0.98850194046040318,0.99841771549783076,0.99937347183890957,0.98353108309337534,0.98577677354709492,0.99860062536403982,0.99950173178724822
0.64025610244097642,0.99754953384399414,0.99215766403825389,0.99368019861286239,0.99912889451586273,0.99965955083503066,0.99079199683967878,0.98860359695428146,0.9983503598381841,0.9993102960116772,0.98363288948772498,0.98494126062586729,0.99850849926138951,0.99941968847972151
0.68027210884353739,0.99739193916320801,0.99101476264299437,0.99405179034252689,0.99912819244855955,0.99962594570319652,0.98733394357337945,0.98847026979021457,0.99827493899771558,0.99924745007418037,0.97955232908415113,0.98432411775174222,0.99841543410559386,0.99933371304773178
0.72028811524609848,0.99723434448242188,0.99862968176913203,0.99461285667034804,0.99913307745595037,0.99959586542989609,0.98821694661813986,0.98844971293370321,0.99820432503048051,0.99918494769647481,0.98084372885754822,0.98379355269383995,0.99831995946761865,0.99924491333371701
0.76030412164865946,0.99707674980163574,0.99938325378288784,0.99525926259496833,0.99913966369792329,0.9995693748933947,0.97630114646981903,0.9882943729657464,0.99813556012921323,0.99912276128304045,0.98535834058444993,0.98347038982961266,0.99822813949064426,0.99915433845471868
0.80032012805122044,0.99691921472549438,1.0071263940718678,0.99584483693675652,0.99915178472154276,0.99954620031957064,0.99284506781167081,0.98834531634851208,0.99806688199892313,0.99906074931523869,0.9796974509925287,0.98318051835415887,0.99813532078555334,0.99906298181291098
0.84033613445378152,0.99676162004470825,1.009793769954267,0.99638168542782379,0.99916384714534978,0.99952588889620064,0.99296128049427312,0.98844046347599557,0.99797562816347818,0.99899912996258633,0.98544090891601754,0.98307479079303906,0.99804616489073084,0.99897113358357859
0.8803521408563425,0.99660408496856689,0.9809367973892329,0.99674956570692241,0.99916595401431674,0.99950814789594533,0.96648796028311568,0.98896546347553749,0.99792634144623926,0.99893925298715547,0.98976863660446512,0.9832088681482517,0.99796013711374498,0.99887955517615878
0.92036814725890359,0.99644649028778076,0.99237799114037806,0.99686237877863437,0.9991592794908446,0.99949250025644554,0.95430275531321895,0.98861207698127629,0.99782151599757418,0.99887984346732039,0.98036648151126571,0.98322776894574526,0.99787389491579681,0.99878842434198578
0.96038415366146457,0.99628889560699463,0.99865822249110681,0.99708643528643925,0.99915680250307748,0.99947861352479384,0.98952385038633461,0.98886387698088529,0.99772243817502759,0.99882030872813443,0.98341517675239032,0.9830373432747892,0.99778518089957291,0.99869776310018676
1.0004001600640255,0.99613136053085327,1.0047887816905026,0.99743972350583499,0.99915672666893718,0.99946647513088671,0.97686004591378783,0.98856750207469923,0.99764634465784074,0.99876253464821851,0.97865841636568851,0.98312185540899222,0.99770002308942307,0.99860754609269953
1.0404161664665867,0.99597376585006714,1.0059030817677748,0.99780125473983494,0.99916226971893463,0.99945588252684636,0.99762039568729466,0.98861470207436675,0.99753030465790182,0.99870386343102424,0.98122765367567688,0.98302095746517359,0.99761320974997725,0.99851786017233168
1.0804321728691477,0.99581617116928101,1.0039721898235541,0.99811542865227065,0.99916463975207626,0.99944660213198433,0.99833746527397926,0.98912336000085155,0.99747257407306278,0.99864707343377701,0.99045439587344741,0.98252555746494918,0.99749844771779728,0.99842542249907429
1.1204481792717087,0.9957282543182373,1.0060038529368704,0.99824286099304471,0.9991706756743528,0.99943805146083808,1.0025691240266077,0.98898205620694046,0.99737114892398648,0.99859100247507582,0.96643167153911436,0.98159135746482251,0.99738242771785834,0.99833133896091808
1.1604641856742697,0.99565553665161133,0.99805838256153401,0.99782659484376968,0.99910115460448012,0.99942900127830381,0.97417542034796956,0.9892750946382205,0.99731205544239554,0.99853693646601827,0.95767435002233281,0.9804623833077003,0.99726640771791941,0.99823127406166579
1.2004801920768307,0.99554300308227539,1.009727296128351,0.99801101904226341,0.99910393731033253,0.99942049406406319,0.99659682329876431,0.98941796037544583,0.99725509917768818,0.99848392904602323,0.98091631968450532,0.98024231506912618,0.99715038771798048,0.99812825695733975
1.2404961984793919,0.99543052911758423,1.0058809036271319,0.99823344140289239,0.99911222501476382,0.99941261647268553,0.99798402700827782,0.98981830041480467,0.99721267208085795,0.99843286193355352,0.98094947845731284,0.98001424932939929,0.99703436771804155,0.99802481404491661
1.2805122048819528,0.99531799554824829,0.98088407885819651,0.99819649085191486,0.99910791242929031,0.99940492083271171,0.97278418682590273,0.98990673913542659,0.99714806441508519,0.99838281956830122,0.96216840928464753,0.97948329129683986,0.99691834771810262,0.99791911871763095
