Definition,Alpha,SamplingHz,TauSamples,TauDays,T50Days,T90Days,CutoffHz
BenchmarkCode,0.02,1,49.498316452509108,0.00057289718116329991,0.00039710206587408156,0.0013191445091649235,0.0032154701012936031
ManuscriptText,9.9999999999999995E-07,1,999999.4999711609,11.574068286703252,8.0225328005366361,26.650277102258038,1.5916201741823921E-07
