Task,Model,Window,StartFraction,EndFraction,Count,MAE_pct,RMSE_pct,Bias_pp,P95_pct,Max_pct
SOH,Base,1,0,0.10000000000000001,1449699,0.33464453728072557,0.48227973646389538,0.036615140673921479,1.2989401817321777,1.4175653457641602
SOH,Base,2,0.10000000000000001,0.20000000000000001,1449699,0.47829257740985121,0.53304100117850883,0.47722822902880846,0.87322592735290527,1.4344394207000732
SOH,Base,3,0.20000000000000001,0.29999999999999999,1449699,1.0274771761714354,1.2632269913376255,-0.26415678271079157,2.3461461067199707,2.8058171272277832
SOH,Base,4,0.29999999999999999,0.40000000000000002,1449699,1.4797378574354454,1.558307844602439,-1.4797378574354454,2.6056826114654541,2.9929399490356445
SOH,Base,5,0.40000000000000002,0.5,1449699,1.8760046111677493,2.1964193212371446,-1.8760046111677493,4.1550397872924805,4.8753738403320313
SOH,Base,6,0.5,0.59999999999999998,1449699,1.2258574311259314,1.504389728639635,-1.2258574311259314,3.1564712524414063,3.7189960479736328
SOH,Base,7,0.59999999999999998,0.69999999999999996,1449699,0.47089741299197974,0.49822499475875442,-0.47089741299197974,0.79908967018127441,0.85638761520385742
SOH,Base,8,0.69999999999999996,0.80000000000000004,1449699,0.27189895309034368,0.34423007909466291,-0.13081157080253958,0.63682794570922852,1.0257959365844727
SOH,Base,9,0.80000000000000004,0.90000000000000002,1449699,0.40819240422794417,0.44385427611325529,0.40404981398303713,0.70309042930603027,0.78091621398925781
SOH,Base,10,0.90000000000000002,1,1449699,0.94991813312695927,0.97651655399060033,0.94991813312695927,1.2382388114929199,1.4896869659423828
SOH,Pruned,1,0,0.10000000000000001,1449699,0.76484697151419456,0.88617737697413179,-0.47283081779041042,1.489180326461792,1.546478271484375
SOH,Pruned,2,0.10000000000000001,0.20000000000000001,1449699,0.89952819365960723,1.1074361650956024,0.29067919389849878,2.11639404296875,2.3067891597747803
SOH,Pruned,3,0.20000000000000001,0.29999999999999999,1449699,1.1902467804911305,1.4519608257551548,-1.0174426330698609,2.4755120277404785,2.5638580322265625
SOH,Pruned,4,0.29999999999999999,0.40000000000000002,1449699,0.49177393808333225,0.55861065628910966,0.4282201328952232,1.0284483432769775,1.6075611114501953
SOH,Pruned,5,0.40000000000000002,0.5,1449699,1.4645988247000528,1.650533807640419,-1.1863520441850177,2.2720634937286377,2.3450970649719238
SOH,Pruned,6,0.5,0.59999999999999998,1449699,3.7751682734399625,3.8637633517428558,-3.7751682734399625,4.8352956771850586,4.9598515033721924
SOH,Pruned,7,0.59999999999999998,0.69999999999999996,1449699,2.7241770840355324,2.7660770226450904,-2.7241770840355324,3.5483717918395996,3.6368310451507568
SOH,Pruned,8,0.69999999999999996,0.80000000000000004,1449699,1.1646135087214706,1.2168429039853133,-1.1646135087214706,1.6932308673858643,1.7447233200073242
SOH,Pruned,9,0.80000000000000004,0.90000000000000002,1449699,1.098461507662432,1.1997079554271448,-0.51915653405494544,2.0192623138427734,2.6526451110839844
SOH,Pruned,10,0.90000000000000002,1,1449699,0.99871482304650772,1.4637679550310745,0.60676305984092782,3.2112419605255127,4.6031832695007324
SOH,Quantized,1,0,0.10000000000000001,1449699,1.5032607770730357,1.5983295966353763,-1.5017457585295049,2.4900734424591064,2.8287410736083984
SOH,Quantized,2,0.10000000000000001,0.20000000000000001,1449699,1.0740737718865352,1.210023140147527,-1.0642837703979871,2.1740257740020752,2.2744417190551758
SOH,Quantized,3,0.20000000000000001,0.29999999999999999,1449699,0.52389161351100744,0.7089734273629732,0.42174124617572256,1.5852630138397217,2.2085964679718018
SOH,Quantized,4,0.29999999999999999,0.40000000000000002,1449699,0.77745651297776863,1.0659009138162248,0.74140479724721597,2.6252269744873047,3.2446920871734619
SOH,Quantized,5,0.40000000000000002,0.5,1449699,0.82646243149072673,1.0620752916974086,0.55508001532191309,2.4591743946075439,2.9787361621856689
SOH,Quantized,6,0.5,0.59999999999999998,1449699,3.7658585801564519,3.8086080831525995,-3.7658585801564519,4.3244421482086182,4.3816447257995605
SOH,Quantized,7,0.59999999999999998,0.69999999999999996,1449699,3.4113080565141853,3.4485125890821053,-3.4113080565141853,4.1200518608093262,4.3236672878265381
SOH,Quantized,8,0.69999999999999996,0.80000000000000004,1449699,0.84191635497171025,1.0079874088110303,-0.7833051018486834,1.944965124130249,2.4631083011627197
SOH,Quantized,9,0.80000000000000004,0.90000000000000002,1449699,0.30269921417811363,0.39200633909696303,0.22464735688942625,0.80173015594482422,1.1332094669342041
SOH,Quantized,10,0.90000000000000002,1,1449699,1.0759038983255145,1.1200798235192635,1.0759038983255145,1.6571402549743652,2.0214378833770752
