Task,Model,ProgressPercent,CumulativeMAE_pct
SOH,Base,1,1.0360137700338872
SOH,Base,2,0.81822551285729761
SOH,Base,3,0.6424279857134475
SOH,Base,4,0.53743021874866093
SOH,Base,5,0.45818998539903782
SOH,Base,6,0.44779728243429234
SOH,Base,7,0.40555740774045101
SOH,Base,8,0.37736476608782688
SOH,Base,9,0.34316001913126931
SOH,Base,10,0.33464453728072557
SOH,Base,11,0.33871930711086085
SOH,Base,12,0.35192074050165922
SOH,Base,13,0.34960488659017647
SOH,Base,14,0.35046550076118471
SOH,Base,15,0.3388368299414502
SOH,Base,16,0.33967328846882888
SOH,Base,17,0.34939389479095262
SOH,Base,18,0.3616277580219735
SOH,Base,19,0.37928671743834025
SOH,Base,20,0.40646855734528842
SOH,Base,21,0.45110906383891153
SOH,Base,22,0.45162525013003152
SOH,Base,23,0.44243329495997458
SOH,Base,24,0.4411179270985518
SOH,Base,25,0.4436679995526473
SOH,Base,26,0.45126421460404575
SOH,Base,27,0.45810233468173406
SOH,Base,28,0.52227221703455984
SOH,Base,29,0.5724421639296603
SOH,Base,30,0.61347143028733742
SOH,Base,31,0.64682559120379945
SOH,Base,32,0.67212651241130927
SOH,Base,33,0.69129793705339138
SOH,Base,34,0.71247344575952587
SOH,Base,35,0.76561960520681926
SOH,Base,36,0.7977844907274998
SOH,Base,37,0.81247763634127179
SOH,Base,38,0.82168870027655738
SOH,Base,39,0.82743848818389065
SOH,Base,40,0.83003803707436441
SOH,Base,41,0.83273840116145437
SOH,Base,42,0.87391970070688152
SOH,Base,43,0.92895944806743191
SOH,Base,44,0.9521320155818247
SOH,Base,45,0.95823346693809142
SOH,Base,46,0.9566596616816555
SOH,Base,47,0.95516577922213586
SOH,Base,48,0.95321065257645554
SOH,Base,49,0.97602469950538784
SOH,Base,50,1.0392313518930414
SOH,Base,51,1.0790473079261487
SOH,Base,52,1.1103481837392282
SOH,Base,53,1.1093085522422856
SOH,Base,54,1.102799440499646
SOH,Base,55,1.0935066961730373
SOH,Base,56,1.0889009204458657
SOH,Base,57,1.0869804169449222
SOH,Base,58,1.0817651463308469
SOH,Base,59,1.0769815544706507
SOH,Base,60,1.0703356984318564
SOH,Base,61,1.0630130201888517
SOH,Base,62,1.0532155015639741
SOH,Base,63,1.0442313946864092
SOH,Base,64,1.0351437279405113
SOH,Base,65,1.0275156246062422
SOH,Base,66,1.0204447598057149
SOH,Base,67,1.0122911175079039
SOH,Base,68,1.0039213112491858
SOH,Base,69,0.99413833949032393
SOH,Base,70,0.98470165765473117
SOH,Base,71,0.9765466777774755
SOH,Base,72,0.96779263645362368
SOH,Base,73,0.96178005875004269
SOH,Base,74,0.95442104630841829
SOH,Base,75,0.94538701433159278
SOH,Base,76,0.93414942602865814
SOH,Base,77,0.92359742419843116
SOH,Base,78,0.91394982830223159
SOH,Base,79,0.9057673122295834
SOH,Base,80,0.89560131958418276
SOH,Base,81,0.88657980128001346
SOH,Base,82,0.8793091521090296
SOH,Base,83,0.87296951998403016
SOH,Base,84,0.86779648077833538
SOH,Base,85,0.86083181038622647
SOH,Base,86,0.85522474090885392
SOH,Base,87,0.85002130584525537
SOH,Base,88,0.84590207172044718
SOH,Base,89,0.84300259065195093
SOH,Base,90,0.84144477343348956
SOH,Base,91,0.8410913159047283
SOH,Base,92,0.83920447838986412
SOH,Base,93,0.83703302147099823
SOH,Base,94,0.83756580464053154
SOH,Base,95,0.838793068315551
