Task,Variant,Window,StartFraction,EndFraction,MeanAbsDeviation_pp,RMSDeviation_pp,BiasDeviation_pp,P95Deviation_pp,MaxDeviation_pp
SOH,Pruned,1,0,0.10000000000000001,0.92389590235972141,1.1038848808232817,-0.50944595846433194,2.3941755294799805,2.5304436683654785
SOH,Pruned,2,0.10000000000000001,0.20000000000000001,0.87137320421299336,1.2559046974297101,-0.1865490351303096,2.9039442539215088,3.7297964096069336
SOH,Pruned,3,0.20000000000000001,0.29999999999999999,2.1213905657673875,2.2691942848195632,-0.75328585035906936,3.7380695343017578,4.0572404861450195
SOH,Pruned,4,0.29999999999999999,0.40000000000000002,1.9079579903306685,1.9979206610822666,1.9079579903306685,3.5170197486877441,4.0324687957763672
SOH,Pruned,5,0.40000000000000002,0.5,1.7626636027997054,2.0565450158929579,0.6896525669827317,3.8834750652313232,4.2780876159667969
SOH,Pruned,6,0.5,0.59999999999999998,2.6095098436536719,2.8696082395140978,-2.5493108423140316,3.9866507053375244,4.1195392608642578
SOH,Pruned,7,0.59999999999999998,0.69999999999999996,2.2532796710435523,2.296909155964157,-2.2532796710435523,2.9930710792541504,3.0958116054534912
SOH,Pruned,8,0.69999999999999996,0.80000000000000004,1.0338019379189312,1.0633255720620816,-1.0338019379189312,1.5528023242950439,1.9409894943237305
SOH,Pruned,9,0.80000000000000004,0.90000000000000002,1.3752489064658602,1.4626659102548816,-0.92320634803798263,1.8551647663116455,2.0299732685089111
SOH,Pruned,10,0.90000000000000002,1,1.2949420353171099,1.4112090552352203,-0.34315507328603145,2.2656083106994629,3.3317029476165771
SOH,Quantized,1,0,0.10000000000000001,1.5383608992034261,1.6441574957760743,-1.5383608992034261,2.6431441307067871,2.8857052326202393
SOH,Quantized,2,0.10000000000000001,0.20000000000000001,1.5415119994267954,1.6322565959902047,-1.5415119994267954,2.610933780670166,2.773737907409668
SOH,Quantized,3,0.20000000000000001,0.29999999999999999,1.0830702375748653,1.6618239808843305,0.68589802888651408,3.9004385471343994,4.9268901348114014
SOH,Quantized,4,0.29999999999999999,0.40000000000000002,2.2211426546826614,2.5240719134638332,2.2211426546826614,5.1762878894805908,5.6664645671844482
SOH,Quantized,5,0.40000000000000002,0.5,2.4310846264896622,2.9834554366036174,2.4310846264896622,6.0042083263397217,6.3116312026977539
SOH,Quantized,6,0.5,0.59999999999999998,2.643837021752045,2.8037437015781008,-2.5400011490305201,3.6650300025939941,3.8363337516784668
SOH,Quantized,7,0.59999999999999998,0.69999999999999996,2.9404106435222057,2.9791192392582677,-2.9404106435222057,3.573453426361084,3.7842690944671631
SOH,Quantized,8,0.69999999999999996,0.80000000000000004,0.67070678163631214,0.81021870888697312,-0.65249353104614383,1.6936719417572021,2.4528682231903076
SOH,Quantized,9,0.80000000000000004,0.90000000000000002,0.34461012480375625,0.37412862216366749,-0.17940245709361086,0.63734054565429688,0.89318752288818359
SOH,Quantized,10,0.90000000000000002,1,0.22910552625504582,0.30117414871596909,0.12598576519855526,0.60107707977294922,0.95683932304382324
