Task,Model,Scenario,DroppedFraction,MAE_pct,DeltaMAE_pp,RMSE_pct,MaxError_pct
SOC,Base,Original,0,2.6845133180779555,0,3.8067643015874486,99.537163972854614
SOC,Base,RandomDrop1pct_HoldLast,0.01,2.6845009019951109,-1.2416082844496357E-05,3.8067363953268436,99.537163972854614
SOC,Base,RandomDrop5pct_HoldLast,0.050000000000000003,2.684446063424093,-6.7254653862702796E-05,3.8066080489899146,99.537163972854614
SOC,Base,RandomDrop10pct_HoldLast,0.10000000000000001,2.6843701864173504,-0.00014313166060500593,3.8064194656503534,99.537163972854614
SOC,Base,TenGaps60Samples_HoldLast,4.1382055830186805E-05,2.684495593413208,-1.7724664747378882E-05,3.8067453179584287,99.537163972854614
SOC,Base,TenGaps600Samples_HoldLast,0.00041382055830186803,2.6853414820901351,0.00082816401217981894,3.8086835648984949,99.537163972854614
SOC,Base,TenGaps3600Samples_HoldLast,0.0024829233498112084,2.7320139409279434,0.047500622849987878,4.0714118696725761,99.537163972854614
SOC,Pruned,Original,0,2.3379610965312088,0,3.1302523289407698,99.60063099861145
SOC,Pruned,RandomDrop1pct_HoldLast,0.01,2.3379420557579929,-1.9040773215767137E-05,3.1302942484551322,99.60063099861145
SOC,Pruned,RandomDrop5pct_HoldLast,0.050000000000000003,2.3378758625144447,-8.523401676396869E-05,3.1304843671500646,99.60063099861145
SOC,Pruned,RandomDrop10pct_HoldLast,0.10000000000000001,2.3377780436513911,-0.00018305287981731921,3.1307290926330493,99.60063099861145
SOC,Pruned,TenGaps60Samples_HoldLast,4.1382055830186805E-05,2.3379547210079421,-6.3755232666135031E-06,3.1302542055047864,99.60063099861145
SOC,Pruned,TenGaps600Samples_HoldLast,0.00041382055830186803,2.3395209013490517,0.0015598048178428608,3.1343797373502,99.60063099861145
SOC,Pruned,TenGaps3600Samples_HoldLast,0.0024829233498112084,2.3887619141658654,0.050800817634656659,3.4632884974261882,99.60063099861145
SOC,Quantized,Original,0,2.7911566357181061,0,3.8831915317462142,99.524903297424316
SOC,Quantized,RandomDrop1pct_HoldLast,0.01,2.7911233955560006,-3.3240162105457882E-05,3.8831533986949438,99.524903297424316
SOC,Quantized,RandomDrop5pct_HoldLast,0.050000000000000003,2.790991762438316,-0.00016487327978986777,3.8829818679017323,99.524903297424316
SOC,Quantized,RandomDrop10pct_HoldLast,0.10000000000000001,2.7908176582387765,-0.0003389774793298439,3.882779175455974,99.524903297424316
SOC,Quantized,TenGaps60Samples_HoldLast,4.1382055830186805E-05,2.7911391243834922,-1.7511334613959373E-05,3.8831716160775098,99.524903297424316
SOC,Quantized,TenGaps600Samples_HoldLast,0.00041382055830186803,2.7919157639364318,0.00075912821832571642,3.8850100298666037,99.524903297424316
SOC,Quantized,TenGaps3600Samples_HoldLast,0.0024829233498112084,2.8381487934368406,0.046992157718734467,4.1402916196982362,99.524903297424316
