epoch,train_loss,val_rmse,val_mae,val_r2,val_max_error,lr,best_val_rmse
1,0.04985450526252825,0.04339836076606058,0.032195907,-0.06178772449493408,0.13197249,9.279472096184714e-05,0.04339836076606058
2,0.013666008609995159,,,,,9.275442957742192e-05,0.04339836076606058
3,0.010607402292434235,0.03183085987635927,0.023628961,0.4288005232810974,0.105828285,9.27040819153313e-05,0.03183085987635927
4,0.008920376025663134,,,,,9.263362610892564e-05,0.03183085987635927
5,0.007824876157795651,,,,,9.25430930624502e-05,0.03183085987635927
6,0.007072375648878297,0.024313335052402022,0.018780755,0.6667423248291016,0.09281814,9.243252248669135e-05,0.024313335052402022
7,0.006513932011803688,,,,,9.230196288155794e-05,0.024313335052402022
8,0.006100934518947762,,,,,9.215147151480788e-05,0.024313335052402022
9,0.005748998754990031,0.02358607051934421,0.016726851,0.6863811016082764,0.08738941,9.19811143969284e-05,0.02358607051934421
10,0.005474226483911799,,,,,9.179096625218171e-05,0.02358607051934421
11,0.005233529206278205,,,,,9.158111048582862e-05,0.02358607051934421
12,0.005027166998002961,0.02308647347367049,0.01636751,0.6995264291763306,0.08796525,9.1351639147544e-05,0.02308647347367049
13,0.004851152921607446,,,,,9.110265289104095e-05,0.02308647347367049
14,0.004676419122373326,,,,,9.083426092992063e-05,0.02308647347367049
15,0.004518665207212257,0.02300722825777126,0.015642008,0.7015856504440308,0.09137899,9.054658098976763e-05,0.02300722825777126
16,0.004382694524042962,,,,,9.023973925651161e-05,0.02300722825777126
17,0.004248257857142833,,,,,8.991387032107799e-05,0.02300722825777126
18,0.0041235659069964415,0.02372663441437671,0.015589695,0.6826318502426147,0.09502101,8.956911712035192e-05,0.02300722825777126
19,0.004017330618978244,,,,,8.920563087448144e-05,0.02300722825777126
20,0.003919729817255634,,,,,8.88235710205473e-05,0.02300722825777126
21,0.003825739464499274,0.021919964155667746,0.015769433,0.7291238307952881,0.09424353,8.842310514262868e-05,0.021919964155667746
22,0.003737670427994334,,,,,8.800440889829513e-05,0.021919964155667746
23,0.003655048823855512,,,,,8.756766594155743e-05,0.021919964155667746
24,0.003578757947550444,0.02239008410281961,0.015188188,0.7173802852630615,0.09494543,8.711306784231093e-05,0.021919964155667746
25,0.003503472474812154,,,,,8.664081400230656e-05,0.021919964155667746
26,0.0034251564457380805,,,,,8.615111156768667e-05,0.021919964155667746
27,0.00335579830472363,0.02547393825516793,0.0154595645,0.6341667175292969,0.10709,8.564417533812391e-05,0.021919964155667746
28,0.003279293192909998,,,,,8.512022767260295e-05,0.021919964155667746
29,0.003211974964221144,,,,,8.457949839188655e-05,0.021919964155667746
30,0.0031426344380022313,0.0252749854119388,0.01524076,0.6398587226867676,0.10366267,8.402222467770847e-05,0.021919964155667746
31,0.0030706196230950587,,,,,8.344865096873785e-05,0.021919964155667746
32,0.0030038435970656356,,,,,8.285902885336021e-05,0.021919964155667746
33,0.002937919806079035,0.024410860328482744,0.014884539,0.6640634536743164,0.102775395,8.225361695932254e-05,0.021919964155667746
