"Task","Variant","Count","Mean","Std","MeanAbs","P95Abs","P99Abs","MaxAbs","FractionAbsBelow0p01"
"SOC","Base","17920","0.0015987635050223317","0.19572826293727089","0.11396940755524615","0.26540216999999999","0.70836109000000003","3.5077955699999999","0.063448660714285718"
"SOC","Pruned","9180","0.0080496956982571317","0.28917022628415096","0.14928669838453143","0.36215475000000003","1.35740781","4.5978059800000004","0.055664488017429195"
"SOH","Base","68608","-0.015147125057136177","0.94654718123311143","0.74905535217438179","1.8667635899999999","2.5017538099999999","7.5083937599999997","0.0087890625"
"SOH","Pruned","34560","-0.010340598576388891","0.98012898165012263","0.77380635288715671","1.93305945","2.5971379300000001","7.5033326100000002","0.0083043981481481476"
