"Task","Unit","RankAscending","Score","SelectedByMagnitude"
"SOC","33","1","5.4249301920037478","False"
"SOC","53","2","5.4884861290879199","False"
"SOC","50","3","5.5175308863469619","False"
"SOC","39","4","5.7674150401921462","False"
"SOC","59","5","6.4936620207708069","False"
"SOC","37","6","6.5165825297510498","False"
"SOC","48","7","6.5608093628553075","False"
"SOC","35","8","6.6925536397033962","False"
"SOC","54","9","6.7294980807987841","False"
"SOC","14","10","6.8488738135212781","False"
"SOC","57","11","6.9052014969137998","False"
"SOC","24","12","6.976022842277815","False"
"SOC","43","13","7.0131976771097779","False"
"SOC","34","14","7.1222253640926798","False"
"SOC","46","15","7.1338596240277701","False"
"SOC","3","16","7.1745078573353318","False"
"SOC","1","17","7.2228199867614471","False"
"SOC","12","18","7.2335127886185919","False"
"SOC","60","19","7.2753543163334795","False"
"SOC","13","20","7.3315454739157389","True"
"SOC","18","21","7.3935190591241771","True"
"SOC","21","22","7.5028913707916729","True"
"SOC","31","23","7.5037387692645323","True"
"SOC","40","24","7.5165460004025828","True"
"SOC","10","25","7.5618398710112871","True"
"SOC","6","26","7.6881889590386514","True"
"SOC","11","27","7.6945797622931789","True"
"SOC","45","28","7.7549732862128176","True"
"SOC","42","29","7.8192954029435278","True"
"SOC","0","30","7.9226276624421033","True"
"SOC","58","31","8.0214450845133047","True"
"SOC","56","32","8.0653137828030594","True"
"SOC","20","33","8.0726592390650787","True"
"SOC","55","34","8.1864988872611058","True"
"SOC","16","35","8.2115742694445011","True"
"SOC","5","36","8.3219492774808401","True"
"SOC","47","37","8.3353802365923642","True"
"SOC","15","38","8.4185731396427563","True"
"SOC","2","39","8.4764776086876399","True"
"SOC","9","40","8.4820837847612562","True"
"SOC","29","41","8.552788796750459","True"
"SOC","26","42","8.716064471362122","True"
"SOC","61","43","8.7896368235627769","True"
"SOC","44","44","8.822401984086941","True"
"SOC","7","45","9.2681294642716079","True"
"SOC","25","46","9.3070656339600433","True"
"SOC","19","47","9.320373880497737","True"
"SOC","30","48","9.3405101295639739","True"
"SOC","22","49","9.3925890019841543","True"
"SOC","52","50","9.4549752532961922","True"
"SOC","28","51","9.5645171170945122","True"
"SOC","8","52","9.5784087793380586","True"
"SOC","49","53","9.6666094407423486","True"
"SOC","32","54","9.7655482056504912","True"
"SOC","4","55","10.07599143926446","True"
"SOC","17","56","10.090295670659632","True"
"SOC","63","57","10.345288644490562","True"
"SOC","27","58","10.607791907772583","True"
"SOC","62","59","11.134024833100684","True"
"SOC","38","60","11.37135785568811","True"
"SOC","51","61","11.595791150119668","True"
"SOC","23","62","11.881008991278465","True"
"SOC","41","63","12.699674165528979","True"
"SOC","36","64","13.957085818851812","True"
"SOH","46","1","46.455342443705504","False"
"SOH","16","2","46.911127500333897","False"
"SOH","83","3","47.331279259659809","False"
"SOH","59","4","47.33673313070399","False"
"SOH","127","5","47.383687350801843","False"
"SOH","118","6","47.68105275210371","False"
"SOH","112","7","47.837455758300123","False"
"SOH","0","8","47.872484388318696","False"
"SOH","81","9","48.074660836765418","False"
"SOH","82","10","48.503826323020888","False"
"SOH","84","11","48.57962671067137","False"
"SOH","20","12","48.611575575406214","False"
"SOH","52","13","48.857005290373408","False"
"SOH","4","14","48.935073718237888","False"
"SOH","48","15","49.195524663542741","False"
"SOH","29","16","49.218420530590407","False"
"SOH","89","17","49.552623893495756","False"
"SOH","65","18","49.643592262271767","False"
"SOH","1","19","49.660557585952702","False"
"SOH","35","20","49.683193148460177","False"
"SOH","27","21","49.709888059899903","False"
"SOH","28","22","49.754573807110461","False"
"SOH","23","23","49.782936170139322","False"
"SOH","41","24","49.888242262518901","False"
"SOH","80","25","50.01246759853511","False"
"SOH","22","26","50.24942287370029","False"
"SOH","111","27","50.449696852236656","False"
"SOH","37","28","50.486497624398453","False"
"SOH","42","29","50.543337859434352","False"
"SOH","53","30","50.745628517263313","False"
"SOH","57","31","50.756476209067358","False"
"SOH","122","32","50.767480658926019","False"
"SOH","86","33","50.846799503838483","False"
"SOH","51","34","50.849037784907274","False"
"SOH","56","35","50.876589137882434","False"
"SOH","19","36","50.900570067937771","False"
"SOH","43","37","50.908225705850455","False"
"SOH","47","38","51.016859040314799","False"
"SOH","91","39","51.220732794179341","True"
"SOH","68","40","51.27138729942029","True"
"SOH","66","41","51.282596785848185","True"
"SOH","123","42","51.337142002887774","True"
"SOH","33","43","51.402252018212813","True"
"SOH","76","44","51.450456974757003","True"
"SOH","126","45","51.543598238512566","True"
"SOH","21","46","51.691414796461039","True"
"SOH","13","47","51.692311025002276","True"
"SOH","10","48","51.733787495846158","True"
"SOH","102","49","51.750466199967505","True"
"SOH","71","50","51.82700483946239","True"
"SOH","61","51","51.864376074925481","True"
"SOH","11","52","51.891177399271584","True"
"SOH","7","53","51.924578231807864","True"
"SOH","45","54","51.952504871705187","True"
"SOH","18","55","52.00210326839268","True"
"SOH","5","56","52.003693354802536","True"
"SOH","14","57","52.090181633871815","True"
"SOH","95","58","52.168661995536148","True"
"SOH","44","59","52.332396453724463","True"
"SOH","116","60","52.547733033682391","True"
"SOH","105","61","52.570055067046823","True"
"SOH","74","62","52.611538658912636","True"
"SOH","50","63","52.724549079150179","True"
"SOH","60","64","52.755778946820243","True"
"SOH","72","65","52.757746209334393","True"
"SOH","98","66","52.815063756383097","True"
"SOH","75","67","52.896459559320213","True"
"SOH","64","68","52.924784467440347","True"
"SOH","58","69","52.936990909758762","True"
"SOH","103","70","52.967988326904162","True"
"SOH","119","71","52.985627305336322","True"
"SOH","87","72","52.998199290378395","True"
"SOH","79","73","52.999149150374421","True"
"SOH","92","74","53.051832964410181","True"
"SOH","32","75","53.1309859658531","True"
"SOH","85","76","53.172818482531952","True"
"SOH","9","77","53.191662896063676","True"
"SOH","8","78","53.208996085964849","True"
"SOH","34","79","53.300674133781371","True"
"SOH","101","80","53.415628838980169","True"
"SOH","90","81","53.512752935910981","True"
"SOH","115","82","53.649525799822598","True"
"SOH","6","83","53.714301099548869","True"
"SOH","77","84","53.730361227235996","True"
"SOH","110","85","53.785825433744989","True"
"SOH","12","86","53.966894911501676","True"
"SOH","109","87","53.973953089428761","True"
"SOH","49","88","53.974903516663552","True"
"SOH","97","89","54.015501922403068","True"
"SOH","2","90","54.074125106209848","True"
"SOH","25","91","54.207255635921101","True"
"SOH","96","92","54.263913235910969","True"
"SOH","67","93","54.358572491782752","True"
"SOH","70","94","54.440782700321776","True"
"SOH","104","95","54.485105325229839","True"
"SOH","120","96","54.490490144787884","True"
"SOH","99","97","54.545485599852597","True"
"SOH","117","98","54.578075586206609","True"
"SOH","69","99","54.595267364852262","True"
"SOH","36","100","54.772061849379128","True"
"SOH","62","101","54.823216572744641","True"
"SOH","40","102","54.911979791925305","True"
"SOH","38","103","54.926587312129186","True"
"SOH","39","104","55.130696601823544","True"
"SOH","3","105","55.184032833759439","True"
"SOH","15","106","55.255116904778703","True"
"SOH","108","107","55.308657909723642","True"
"SOH","31","108","55.403538735891281","True"
"SOH","125","109","55.469468719543912","True"
"SOH","124","110","55.578270127556976","True"
"SOH","30","111","55.665887706681936","True"
"SOH","73","112","55.825394716538185","True"
"SOH","100","113","55.838311875851673","True"
"SOH","94","114","56.302158113935533","True"
"SOH","93","115","56.333776912264469","True"
"SOH","24","116","56.393231856609269","True"
"SOH","54","117","56.691240120587835","True"
"SOH","63","118","56.742465591514659","True"
"SOH","113","119","56.891984517644737","True"
"SOH","17","120","56.959536037985856","True"
"SOH","114","121","57.078578717579347","True"
"SOH","107","122","58.149759314997262","True"
"SOH","55","123","58.194545106400703","True"
"SOH","106","124","58.305506605258543","True"
"SOH","88","125","58.323358917694144","True"
"SOH","121","126","58.34199548135615","True"
"SOH","78","127","60.184964749350812","True"
"SOH","26","128","61.167723576553136","True"
