"Task","Variant","ValueName","BinCenter","Density"
"SOC","W_ih","Absolute reconstruction error","4.9340886250000008E-05","2005.605104698202"
"SOC","W_ih","Absolute reconstruction error","0.00014802265875000001","250.70063808727525"
"SOC","W_ih","Absolute reconstruction error","0.00024670443125000005","389.24572755655896"
"SOC","W_ih","Absolute reconstruction error","0.00034538620375000004","349.66141627962077"
"SOC","W_ih","Absolute reconstruction error","0.00044406797625000009","277.09017893856736"
"SOC","W_ih","Absolute reconstruction error","0.00054274974875000007","336.46664585397468"
"SOC","W_ih","Absolute reconstruction error","0.00064143152125000012","349.66141627962077"
"SOC","W_ih","Absolute reconstruction error","0.00074011329375000016","329.86926064115164"
"SOC","W_ih","Absolute reconstruction error","0.0008387950662500001","283.6875641513904"
"SOC","W_ih","Absolute reconstruction error","0.00093747683875000014","310.07710500268257"
"SOC","W_ih","Absolute reconstruction error","0.0010361586112500002","316.67449021550556"
"SOC","W_ih","Absolute reconstruction error","0.0011348403837500001","283.6875641513904"
"SOC","W_ih","Absolute reconstruction error","0.0012335221562500003","237.5058676616292"
"SOC","W_ih","Absolute reconstruction error","0.0013322039287500002","237.5058676616292"
"SOC","W_ih","Absolute reconstruction error","0.0014308857012500001","263.89540851292134"
"SOC","W_ih","Absolute reconstruction error","0.0015295674737500003","197.921556384691"
"SOC","W_ih","Absolute reconstruction error","0.0016282492462500002","125.35031904363763"
"SOC","W_ih","Absolute reconstruction error","0.0017269310187500004","171.53201553339886"
"SOC","W_ih","Absolute reconstruction error","0.0018256127912500003","184.72678595904492"
"SOC","W_ih","Absolute reconstruction error","0.0019242945637500002","237.5058676616292"
"SOC","W_ih","Absolute reconstruction error","0.0020229763362500002","112.15554861799156"
"SOC","W_ih","Absolute reconstruction error","0.0021216581087500005","158.33724510775278"
"SOC","W_ih","Absolute reconstruction error","0.0022203398812500005","105.55816340516853"
"SOC","W_ih","Absolute reconstruction error","0.0023190216537500004","85.766007766699431"
"SOC","W_ih","Absolute reconstruction error","0.0024177034262500004","125.35031904363763"
"SOC","W_ih","Absolute reconstruction error","0.0025163851987500003","164.93463032057582"
"SOC","W_ih","Absolute reconstruction error","0.0026150669712500002","85.766007766699431"
"SOC","W_ih","Absolute reconstruction error","0.0027137487437500006","112.15554861799156"
"SOC","W_ih","Absolute reconstruction error","0.0028124305162500005","105.55816340516853"
"SOC","W_ih","Absolute reconstruction error","0.0029111122887500005","98.960778192345501"
"SOC","W_ih","Absolute reconstruction error","0.0030097940612500004","85.766007766699431"
"SOC","W_ih","Absolute reconstruction error","0.0031084758337500003","59.376466915407299"
"SOC","W_ih","Absolute reconstruction error","0.0032071576062500007","98.960778192345501"
"SOC","W_ih","Absolute reconstruction error","0.0033058393787500006","98.960778192345501"
"SOC","W_ih","Absolute reconstruction error","0.0034045211512500006","92.363392979522459"
"SOC","W_ih","Absolute reconstruction error","0.0035032029237500005","85.766007766699431"
"SOC","W_ih","Absolute reconstruction error","0.0036018846962500004","39.584311276938195"
"SOC","W_ih","Absolute reconstruction error","0.0037005664687500008","79.168622553876389"
"SOC","W_ih","Absolute reconstruction error","0.0037992482412500007","72.571237341053362"
"SOC","W_ih","Absolute reconstruction error","0.0038979300137500007","52.779081702584264"
"SOC","W_ih","Absolute reconstruction error","0.0039966117862500006","32.986926064115167"
"SOC","W_ih","Absolute reconstruction error","0.004095293558750001","59.376466915407299"
