"Task","HiddenSize","PrunedHiddenSize","TotalMACs","MACReductionPct"
"SOC","600","420","1492864","50.2550801680528"
"SOC","610","427","1542144","50.2669011454183"
"SOC","620","434","1592224","50.2783527945817"
"SOC","630","441","1643104","50.2894521588408"
"SOC","640","448","1694784","50.3002152486689"
"SOC","650","455","1747264","50.3106571187869"
"SOC","660","462","1800544","50.3207919384364"
"SOC","670","469","1854624","50.3306330555412"
"SOC","680","476","1909504","50.3401930553694"
"SOC","690","483","1965184","50.3494838142383"
"SOC","700","490","2021664","50.358516548744"
"SOC","710","497","2078944","50.3673018609448"
"SOC","720","504","2137024","50.3758497798808"
"SOC","730","511","2195904","50.3841697997727"
"SOC","740","518","2255584","50.3922709152042"
"SOC","750","525","2316064","50.400161653564"
"SOC","760","532","2377344","50.4078501049911"
"SOC","770","539","2439424","50.4153439500472"
"SOC","780","546","2502304","50.4226504853127"
"SOC","790","553","2565984","50.4297766470874"
"SOC","800","560","2630464","50.4367290333569"
"SOC","810","567","2695744","50.4435139241708"
"SOC","820","574","2761824","50.4501373005666"
"SOC","830","581","2828704","50.4566048621559"
"SOC","840","588","2896384","50.4629220434859"
"SOC","850","595","2964864","50.4690940292708"
"SOC","860","602","3034144","50.4751257685858"
"SOC","870","609","3104224","50.481021988104"
"SOC","880","616","3175104","50.4867872044506"
"SOC","890","623","3246784","50.4924257357434"
"SOC","900","630","3319264","50.4979417123796"
"SOC","910","637","3392544","50.5033390871275"
"SOC","920","644","3466624","50.5086216445741"
"SOC","930","651","3541504","50.5137930099754"
"SOC","940","658","3617184","50.5188566575546"
"SOC","950","665","3693664","50.523815918286"
"SOC","960","672","3770944","50.5286739872032"
"SOC","970","679","3849024","50.5334339302639"
"SOC","980","686","3927904","50.538098690803"
"SOC","990","693","4007584","50.5426710956027"
"SOC","1000","700","4088064","50.5471538606049"
"SOH","30","21","8288","38.6583011583012"
"SOH","40","28","12608","40.3553299492386"
"SOH","50","35","17728","41.6290613718412"
"SOH","60","42","23648","42.6251691474966"
"SOH","70","49","30368","43.427291886196"
"SOH","80","56","37888","44.0878378378378"
"SOH","90","63","46208","44.641620498615"
"SOH","100","70","55328","45.1127819548872"
"SOH","110","77","65248","45.518636586562"
"SOH","120","84","75968","45.8719460825611"
"SOH","130","91","87488","46.1823335771763"
"SOH","140","98","99808","46.457197819814"
"SOH","150","105","112928","46.7023236044205"
"SOH","160","112","126848","46.9223007063572"
"SOH","170","119","141568","47.1208182640145"
"SOH","180","126","157088","47.3008759421471"
"SOH","190","133","173408","47.4649381804761"
"SOH","200","140","190528","47.6150487067518"
"SOH","210","147","208448","47.7529167945963"
"SOH","220","154","227168","47.8799830962107"
"SOH","230","161","246688","47.9974704890388"
"SOH","240","168","267008","48.1064237775647"
"SOH","250","175","288128","48.2077410039982"
"SOH","260","182","310048","48.3021983692848"
"SOH","270","189","332768","48.3904702375228"
"SOH","280","196","356288","48.4731453206395"
"SOH","290","203","380608","48.5507398688414"
"SOH","300","210","405728","48.6237084943607"
"SOH","310","217","431648","48.6924531099414"
"SOH","320","224","458368","48.7573303546495"
"SOH","330","231","485888","48.8186577976818"
"SOH","340","238","514208","48.8767191486714"
"SOH","350","245","543328","48.9317686553978"
"SOH","360","252","573248","48.9840348330914"
"SOH","370","259","603968","49.0337236409876"
"SOH","380","266","635488","49.0810211994562"
"SOH","390","273","667808","49.1260961234367"
"SOH","400","280","700928","49.1691015339664"
"SOH","410","287","734848","49.2101767984672"
