"Task","Matrix","Count","MAE","RMSE","RelativeRMSE","P95Abs","P99Abs","MaxAbs","SaturationFraction"
"SOC","W_ih","1536","0.0016293174477994804","0.0024507112669923375","0.0045220588637963546","0.0055103866000000279","0.0078945418000000017","0.012462232500000003","0.16666666666666666"
"SOC","W_hh","16384","0.00054350811338440218","0.00065008813576999383","0.0054232433655748953","0.0011366930799999869","0.001468456179999994","0.0027453307200000221","0.01605224609375"
"SOH","W_ih","3072","0.0031845236093261801","0.0043549081357053109","0.0038107874501086977","0.0086843885999999954","0.011865939200000009","0.028655407099999808","0.16796875"
"SOH","W_hh","65536","0.005214119281658932","0.0061179877033841002","0.0065330433243457921","0.010485864999999928","0.012390861199999992","0.017900218800000034","0.0079803466796875"
