"Slide","Title","Image","SHA256","PowerPointCrop"
"38","Quantization: Weight-only INT8","Folie_38_image31.png","47B53FCB8C1525DCD827BB000526365DFCEBA0EF4C53D247E89994B4C5511C8F","<ns0:srcRect xmlns:ns0=""http://schemas.openxmlformats.org/drawingml/2006/main"" l=""51389"" t=""10000"" r=""1111"" b=""9222"" />"
"39","Ergebnisse: Accuracy nach Modellkompression","Folie_39_image32.png","A182EBF2A93757B7070604F48629BB2A89808650164964C7E97A5F20CF69B8AB","<ns0:srcRect xmlns:ns0=""http://schemas.openxmlformats.org/drawingml/2006/main"" l=""0"" t=""0"" r=""50000"" b=""0"" />"
"39","Ergebnisse: Accuracy nach Modellkompression","Folie_39_image33.png","384B79799F12F5B4230AD2891EE7A52EA5FA24D653E5E0ADB0CE103D6D42CE92","<ns0:srcRect xmlns:ns0=""http://schemas.openxmlformats.org/drawingml/2006/main"" l=""0"" t=""0"" r=""50000"" b=""0"" />"
"40","Ergebnisse: Flash- und RAM-Bedarf der Modelle","Folie_40_image34.png","D5C7C9386D18E8DEAD9CA07319EC64C4AA5E498ACB1C451916EC089DAE99230E","<a:srcRect xmlns:a=""http://schemas.openxmlformats.org/drawingml/2006/main"" l=""0"" t=""0"" r=""0"" b=""0"" />"
"40","Ergebnisse: Flash- und RAM-Bedarf der Modelle","Folie_02_image2.png","7B15E8D113B265A34300418CF6842BD7E3A77E485101156D187315CD8CA794B0",
"41","Ergebnisse: Host-Latenz und Kernelzeit auf dem STM32","Folie_41_image35.png","9BEBD0BE1C299C9F667FD90AEE72F471664F64180696FE10C6E2884362BAAF39",
"42","Ergebnisse: Host-Latenz und Kernelzeit auf dem STM32","Folie_41_image35.png","9BEBD0BE1C299C9F667FD90AEE72F471664F64180696FE10C6E2884362BAAF39",
"43","Fazit: Antworten auf die Forschungsfragen","Folie_03_image5.png","954C9415C63C80A9A9155C9DF12AC851955CE0188B963640A65DB9BA0D1718EE",
"44","44 / 44","Folie_03_image5.png","954C9415C63C80A9A9155C9DF12AC851955CE0188B963640A65DB9BA0D1718EE",
"45","Anhang: Korrelation der SOH-Eingangsmerkmale","Folie_45_image37.png","8804CDB2616CB5C58AC19A3041B738951A6CA8891E95A4D6949E3AB90EF7F090",
"45","Anhang: Korrelation der SOH-Eingangsmerkmale","Folie_02_image2.png","7B15E8D113B265A34300418CF6842BD7E3A77E485101156D187315CD8CA794B0",
"46","Anhang: Störungsszenarien im Robustheitsvergleich","Folie_46_image38.png","03AE76E702EFF6E616C5F19D9FD100362C314DD69FACA0D5149C9DAACB6FC3D1",
"47","Anhang: Stromrauschen und lokale SOC-Schwankungen","Folie_47_image39.png","49336F1F5D4BBB97B18D3737416AE48F8F3FC2291FFA303451B6F61C46239917",
"51","Anhang: Parameterspeicher und Firmwarebedarf","Folie_02_image2.png","7B15E8D113B265A34300418CF6842BD7E3A77E485101156D187315CD8CA794B0",
"51","Anhang: Parameterspeicher und Firmwarebedarf","Folie_51_image40.png","43A7D6336BEE7AFBF40073DF376EFA44974C3B68390E33BC36E4FB131A3FA396",
"52","Anhang: DD-Ausführung und Zustandsführung","Folie_52_image26.png","AC471FCE1AB8E5C7392022ACDEA7E9470D22794103C013F269D52F21E1D8D51C",
"53","Anhang: Stateful LSTM und MLP-Head","Folie_32_image28.png","BC3C5546BF8C7E62304581CB06E5A7D7F625DAA5433CD35F01F0A461F39308AA",
"56","Anhang: Signed Error Distributions von SOC und SOH","Folie_39_image32.png","A182EBF2A93757B7070604F48629BB2A89808650164964C7E97A5F20CF69B8AB","<ns0:srcRect xmlns:ns0=""http://schemas.openxmlformats.org/drawingml/2006/main"" l=""50000"" t=""0"" r=""0"" b=""0"" />"
"56","Anhang: Signed Error Distributions von SOC und SOH","Folie_39_image33.png","384B79799F12F5B4230AD2891EE7A52EA5FA24D653E5E0ADB0CE103D6D42CE92","<ns0:srcRect xmlns:ns0=""http://schemas.openxmlformats.org/drawingml/2006/main"" l=""50000"" t=""0"" r=""0"" b=""0"" />"
"57","Anhang: SOH-Ergebnisse im Überblick","Folie_02_image2.png","7B15E8D113B265A34300418CF6842BD7E3A77E485101156D187315CD8CA794B0",
