Task,Model,Scenario,DroppedFraction,MAE_pct,DeltaMAE_pp,RMSE_pct,MaxError_pct
SOH,Base,Original,0,0.85229210940283662,0,1.1465405446617265,4.8753738403320313
SOH,Base,RandomDrop1pct_HoldLast,0.01,0.85229210768339947,-1.7194370927064995E-09,1.146540542645661,4.8753738403320313
SOH,Base,RandomDrop5pct_HoldLast,0.050000000000000003,0.85229210212174822,-7.2810884058083225E-09,1.1465405341249761,4.8753738403320313
SOH,Base,RandomDrop10pct_HoldLast,0.10000000000000001,0.85229209526866878,-1.4134167794499497E-08,1.146540526834299,4.8753738403320313
SOH,Base,TenGaps60Samples_HoldLast,4.1387901902394912E-05,0.85229211184014475,2.4373081677908637E-09,1.1465405471978829,4.8753738403320313
SOH,Base,TenGaps600Samples_HoldLast,0.00041387901902394911,0.85229204202409115,-6.7378745464974354E-08,1.1465404585799814,4.8753738403320313
SOH,Base,TenGaps3600Samples_HoldLast,0.0024832741141436947,0.85228135489897727,-1.0754503859330966E-05,1.1465251604122726,4.8753738403320313
SOH,Pruned,Original,0,1.4572129905354223,0,1.8654408312798469,4.9598515033721924
SOH,Pruned,RandomDrop1pct_HoldLast,0.01,1.4572129819760626,-8.5593596446664755E-09,1.8654408214132505,4.9598515033721924
SOH,Pruned,RandomDrop5pct_HoldLast,0.050000000000000003,1.4572129481871914,-4.2348230998301428E-08,1.8654407808615399,4.9598515033721924
SOH,Pruned,RandomDrop10pct_HoldLast,0.10000000000000001,1.4572129010206718,-8.9514750646613184E-08,1.8654407244599684,4.9598515033721924
SOH,Pruned,TenGaps60Samples_HoldLast,4.1387901902394912E-05,1.4572129948911652,4.3557428497376094E-09,1.8654408366212294,4.9598515033721924
SOH,Pruned,TenGaps600Samples_HoldLast,0.00041387901902394911,1.4572131199960436,1.2946062121627078E-07,1.865440692651017,4.9598515033721924
SOH,Pruned,TenGaps3600Samples_HoldLast,0.0024832741141436947,1.4572192798087362,6.2892733139474633E-06,1.8654354503115405,4.9598515033721924
SOH,Quantized,Original,0,1.4102831211085047,0,1.8869983176859544,4.3816447257995605
SOH,Quantized,RandomDrop1pct_HoldLast,0.01,1.4102831177752966,-3.3332081886272569E-09,1.8869983124897369,4.3816447257995605
SOH,Quantized,RandomDrop5pct_HoldLast,0.050000000000000003,1.4102831023406557,-1.8767849080392196E-08,1.8869982887860455,4.3816328048706055
SOH,Quantized,RandomDrop10pct_HoldLast,0.10000000000000001,1.410283080306205,-4.0802299906828043E-08,1.8869982590631396,4.3816447257995605
SOH,Quantized,TenGaps60Samples_HoldLast,4.1387901902394912E-05,1.4102831221836669,1.0751621815074941E-09,1.8869983185612695,4.3816447257995605
SOH,Quantized,TenGaps600Samples_HoldLast,0.00041387901902394911,1.4102830300223319,-9.1086172979149005E-08,1.8869978538574348,4.3816447257995605
SOH,Quantized,TenGaps3600Samples_HoldLast,0.0024832741141436947,1.4102657789773358,-1.7342131168954222E-05,1.8869778024751629,4.3816447257995605
